Polarity,Text
neutral,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played."
positive,The design and atmosphere is just as good.
negative,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
positive,"All the money went into the interior decoration, none of it went to the chefs."
negative,The seats are uncomfortable if you are sitting against the wall on wooden benches.
positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
positive,this little place has a cute interior decor and affordable city prices.
positive,"Raga's is a romantic, cozy restaurant."
positive,The place is so cool and the service is prompt and curtious.
positive,"Nice atmosphere, the service was very pleasant and the desert was good."
positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
positive,"Great food, good size menu, great service and an unpretensious setting."
positive,"whoever the jazz duo was, they were on POINT."
positive,First went here to enjoy their garden terrace.
positive,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
negative,They are often crowded on the weekends but they are efficient and accurate with their service.
positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
conflict,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
negative,It was tiny and I felt like I was eating in someone's living room.
positive,"Nice restaurant overall, with classic upscale Italian decor."
conflict,"There's nice and quiet, small but enough for 6 (or more)."
positive,Ambiance- relaxed and stylish.
negative,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is)."
positive,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.
positive,Its an excellent place to relax and the food is one of the best in the city of New York.
conflict,The atmosphere was crowded but it was a great bistro-type vibe.
positive,"Ambiance and music funky, which I enjoy."
positive,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance."
positive,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience."
negative,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants."
positive,I love the atmorphere @ peep!
negative,It's a rather cramped and busy restaurant and it closes early.
positive,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could."
negative,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees."
positive,"The service, wine selection, ambiance are all outstanding and deserve recognition."
positive,"It is set far from the small street it's on, and there is no traffic noise."
neutral,"Also, the place is popular with families, so if you're bothered by children running loose like wild animals, come later at night to avoid them."
positive,I felt as though I were eating in Paris.
positive,"I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service."
positive,All the NYU students love this place so it makes for a fun young atmosphere.
positive,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.
conflict,Always busy but fast moving.
negative,"Since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get."
positive,Not pretentious and very economical.
negative,"The noise level was unbearable, conversation impossible."
