Polarity,Text
positive,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora."
positive,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not."
positive,"Not only was the food outstanding, but the little 'perks' were great."
negative,It is very overpriced and not very tasty.
positive,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).
positive,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy."
positive,Nevertheless the food itself is pretty good.
negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
positive,He has visited Thailand and is quite expert on the cuisine.
positive,The pizza is the best if you like thin crusted pizza.
negative,"All the money went into the interior decoration, none of it went to the chefs."
neutral,"I asked for seltzer with lime, no ice."
positive,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
neutral,My suggestion is to eat family style because you'll want to try the other dishes.
positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
positive,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
positive,"The quantity is also very good, you will come out satisfied."
positive,The fried rice is amazing here.
positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
positive,it's a perfect place to have a amanzing indian food.
positive,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
positive,I just wonder how you can have such a delicious meal for such little money.
conflict,The food was delicious but do not come here on a empty stomach.
positive,The wine list is excellent.
positive,so garantuan that you can't fit them in a toaster.
positive,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
positive,"Nice atmosphere, the service was very pleasant and the desert was good."
positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
positive,Try the lasagnette appetizer.
positive,I liked the beer selection!
positive,"Great food, good size menu, great service and an unpretensious setting."
positive,Wine list selection is good and wine-by-the-glass was generously filled to the top.
positive,"With the great variety on the menu , I eat here often and never get bored ."
negative,The menu is very limited - i think we counted 4 or 5 entrees.
conflict,The menu is limited but almost all of the dishes are excellent.
negative,Not too crazy about their sake martini.
positive,"Great bagels, spreads and a good place to hang out in."
positive,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
positive,We always have a delicious meal and always leave feeling satisfied.
neutral,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
conflict,"My husbands was perfect, my was well done and dry."
positive,The pizza was pretty good and huge.
neutral,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
negative,All my co-workers were amazed at how small the dish was.
positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
negative,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
positive,"The wait staff is friendly, and the food has gotten better and better!"
positive,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
positive,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
positive,We had the lobster sandwich and it was FANTASTIC.
positive,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
positive,Deep Fried Skewers are good and still rare to find in NYC.
positive,I also recommend the rice dishes or the different varieties of congee (rice porridge).
positive,Their tuna tartar appetizer is to die for.
positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
positive,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
positive,I love Indian food and consider myself to be quite an expert on it.
neutral,Some baby pizzas get their wish.
positive,Plenty of choices to make your own creation.
positive,The lava cake dessert was incredible and I recommend it.
negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
